ID,TITLE,URL,PUBLISHER,CATEGORY,STORY,HOSTNAME,TIMESTAMP
1,"Fed official says weak data caused by weather, should not slow taper","http://www.latimes.com/business/money/la-fi-mo-federal-reserve-plosser-stimulus-economy-20140310,0,1312750.story\?track=rss",Los Angeles Times,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.latimes.com,1394470370698
2,Fed's Charles Plosser sees high bar for change in pace of tapering,http://www.livemint.com/Politics/H2EvwJSK2VE6OF7iK1g3PP/Feds-Charles-Plosser-sees-high-bar-for-change-in-pace-of-ta.html,Livemint,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.livemint.com,1394470371207
3,US open: Stocks fall after Fed official hints at accelerated tapering,http://www.ifamagazine.com/news/us-open-stocks-fall-after-fed-official-hints-at-accelerated-tapering-294436,IFA Magazine,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.ifamagazine.com,1394470371550
4,"Fed risks falling 'behind the curve', Charles Plosser says",http://www.ifamagazine.com/news/fed-risks-falling-behind-the-curve-charles-plosser-says-294430,IFA Magazine,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.ifamagazine.com,1394470371793
5,Fed's Plosser: Nasty Weather Has Curbed Job Growth,http://www.moneynews.com/Economy/federal-reserve-charles-plosser-weather-job-growth/2014/03/10/id/557011,Moneynews,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.moneynews.com,1394470372027
6,Plosser: Fed May Have to Accelerate Tapering Pace,http://www.nasdaq.com/article/plosser-fed-may-have-to-accelerate-tapering-pace-20140310-00371,NASDAQ,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.nasdaq.com,1394470372212
7,Fed's Plosser: Taper pace may be too slow,http://www.marketwatch.com/story/feds-plosser-taper-pace-may-be-too-slow-2014-03-10\?reflink=MW_news_stmp,MarketWatch,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.marketwatch.com,1394470372405
8,Fed's Plosser expects US unemployment to fall to 6.2% by the end of 2014,http://www.fxstreet.com/news/forex-news/article.aspx\?storyid=23285020-b1b5-47ed-a8c4-96124bb91a39,FXstreet.com,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.fxstreet.com,1394470372615
9,US jobs growth last month hit by weather:Fed President Charles Plosser,http://economictimes.indiatimes.com/news/international/business/us-jobs-growth-last-month-hit-by-weatherfed-president-charles-plosser/articleshow/31788000.cms,Economic Times,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,economictimes.indiatimes.com,1394470372792
10,ECB unlikely to end sterilisation of SMP purchases - traders,http://www.iii.co.uk/news-opinion/reuters/news/152615,Interactive Investor,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.iii.co.uk,1394470501265
11,ECB unlikely to end sterilization of SMP purchases: traders,http://in.reuters.com/article/2014/03/10/us-ecb-refi-poll-idINBREA290VH20140310,Reuters India,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,in.reuters.com,1394470501410
12,EU's half-baked bank union could work,http://blogs.reuters.com/hugo-dixon/2014/03/10/eus-half-baked-bank-union-could-work/,Reuters UK \(blog\),b,dPhGU51DcrolUIMxbRm0InaHGA2XM,blogs.reuters.com,1394470501587
13,Europe reaches crunch point on banking union,http://in.reuters.com/article/2014/03/10/eu-banks-resoluton-idINL6N0M71NJ20140310,Reuters,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,in.reuters.com,1394470501755
14,ECB FOCUS-Stronger euro drowns out ECB's message to keep rates low for  ...,http://in.reuters.com/article/2014/03/10/ecb-policy-idINL6N0M71K320140310,Reuters,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,in.reuters.com,1394470501948
15,EU aims for deal on tackling failing banks,http://main.omanobserver.om/\?p=63376,Oman Daily Observer,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,main.omanobserver.om,1394470502141
16,Forex - Pound drops to one-month lows against euro,http://www.nasdaq.com/article/forex-pound-drops-to-onemonth-lows-against-euro-cm333750,NASDAQ,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.nasdaq.com,1394470502316
17,Noyer Says Strong Euro Creates Unwarranted Economic Pressure,http://www.sfgate.com/business/bloomberg/article/Noyer-Says-Strong-Euro-Creates-Unwarranted-5303474.php,San Francisco Chronicle,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.sfgate.com,1394470502543
18,"EU Week Ahead March 10-14: Bank Resolution, Transparency, Ukraine",http://blogs.wsj.com/brussels/2014/03/10/eu-week-ahead-march-10-14-bank-resolution-transparency-ukraine/,Wall Street Journal \(blog\),b,dPhGU51DcrolUIMxbRm0InaHGA2XM,blogs.wsj.com,1394470502744
19,ECB member Noyer is 'very open to all kinds of tools',http://www.ifamagazine.com/news/ecb-member-noyer-is-very-open-to-all-kinds-of-tools-294431,IFA Magazine,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.ifamagazine.com,1394470502946
20,"Euro Anxieties Wane as Bunds Top Treasuries, Spain Debt Rallies",http://www.businessweek.com/news/2014-03-10/german-bonds-beat-treasuries-with-yield-spread-widest-in-7-years,Businessweek,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.businessweek.com,1394470503148
21,Noyer Says Strong Euro Creates Unwarranted Economic Pressure (1),http://www.businessweek.com/news/2014-03-10/noyer-says-stronger-euro-creates-unwarranted-pressure-on-economy,Businessweek,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.businessweek.com,1394470503366
22,Noyer Says Stronger Euro Creates Unwarranted Pressure on Economy,http://www.sfgate.com/business/bloomberg/article/Noyer-Says-Stronger-Euro-Creates-Unwarranted-5303368.php,San Francisco Chronicle,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.sfgate.com,1394470503543
23,Bad loan triggers key feature in ECB bank test announcement: sources,http://www.globalpost.com/dispatch/news/thomson-reuters/140310/bad-loan-triggers-key-feature-ecb-bank-test-announcement-source,GlobalPost,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.globalpost.com,1394470503726
24,"China's trade deficit and structural worries in Europe, among the main issues",http://www.fxstreet.com/analysis/strategic-currency-briefing/2014/03/10/,FXstreet.com,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.fxstreet.com,1394470503887
25,10 Things You Need To Know This Morning,http://www.businessinsider.com/opening-bell-monday-10-2014-3,Business Insider,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.businessinsider.com,1394470504080
26,ECB's Noyer not Happy With Euro Strength -- Update,http://online.wsj.com/article/BT-CO-20140310-705733.html,Wall Street Journal,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,online.wsj.com,1394470504274
27,Eurozone banks' sovereign exposure hits new high,http://www.ekathimerini.com/4dcgi/_w_articles_wsite2_1_10/03/2014_538029,Kathimerini,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.ekathimerini.com,1394470504506
28,ECB to reveal bad loan hurdles for euro zone bank test,http://www.irishtimes.com/business/sectors/financial-services/ecb-to-reveal-bad-loan-hurdles-for-euro-zone-bank-test-1.1719128,Irish Times,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.irishtimes.com,1394470504683
29,Forex Market: EUR/USD retreats from 2-1/2-year highs as stronger euro seen  ...,http://www.binarytribune.com/2014/03/10/forex-market-eurusd-retreats-from-2-12-year-highs-as-stronger-euro-seen-creating-pressure-on-economy/,Binary Tribune,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.binarytribune.com,1394470504893
30,REFILE-Bad loan triggers key feature in ECB bank test announcement- sources,http://in.reuters.com/article/2014/03/10/eurozone-bank-tests-idINL6N0M71F020140310,Reuters,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,in.reuters.com,1394470505070
31,UPDATE 1-ECB to reveal bad loan hurdles for euro zone bank test -sources,http://in.reuters.com/article/2014/03/10/eurozone-bank-tests-idINL6N0M70XH20140310,Reuters,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,in.reuters.com,1394470505314
32,ECB to reveal bad loan hurdles for euro zone bank test - sources,http://www.euronews.com/business-newswires/2393252-ecb-to-reveal-bad-loan-hurdles-for-euro-zone-bank-test-sources/,euronews,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.euronews.com,1394470505541
33,ECB requires tougher call on bad loan definition,http://www.ifamagazine.com/news/ecb-requires-tougher-call-on-bad-loan-definition-294417,IFA Magazine,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.ifamagazine.com,1394470505699
34,ECB to reveal bad loan hurdles for bank tests?,http://www.rte.ie/news/business/2014/0310/601277-ecb-stress-tests/,RTE.ie,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.rte.ie,1394470505885
35,10 Things You Need To Know Before The Opening Bell,http://www.businessinsider.in/10-Things-You-Need-To-Know-Before-The-Opening-Bell/articleshow/31790677.cms,Businessinsider India,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.businessinsider.in,1394470506062
36,Central banks must contain threats from low prices: ECB's Noyer,http://www.reuters.com/article/2014/03/10/us-ecb-noyer-idUSBREA290GC20140310,Reuters,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.reuters.com,1394470506238
37,UPDATE 1-Central banks must contain threat from low prices -Noyer,http://in.reuters.com/article/2014/03/10/ecb-noyer-idINL6N0M71FQ20140310,Reuters,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,in.reuters.com,1394470506431
38,ECB's Noyer says 'not happy' with euro's rise,http://in.reuters.com/article/2014/03/10/ecb-noyer-idINL6N0M71B320140310,Reuters,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,in.reuters.com,1394470506642
39,ECB's Noyer: Low inflation may hamper adjustment,http://www.marketwatch.com/story/ecbs-noyer-low-inflation-may-hamper-adjustment-2014-03-10,MarketWatch,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.marketwatch.com,1394470506843
40,ECB's Christian Noyer says 'not happy' with euro's rise,http://economictimes.indiatimes.com/news/international/business/ecbs-christian-noyer-says-not-happy-with-euros-rise/articleshow/31787854.cms,Economic Times,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,economictimes.indiatimes.com,1394470507053
41,Sterling at one-month low as ECB policy stance lifts euro,http://economictimes.indiatimes.com/markets/forex/sterling-at-one-month-low-as-ecb-policy-stance-lifts-euro/articleshow/31786121.cms,Economic Times,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,economictimes.indiatimes.com,1394470507272
42,EU aims for deal on tackling failing banks next week,http://money.msn.com/business-news/article.aspx\?feed=OBR&amp;date=20140310&amp;id=17418699,MSN Money,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,money.msn.com,1394470507481
43,Failing banks focus of EU talks,http://www.irishexaminer.com/business/failing-banks-focus-of-eu-talks-261384.html,Irish Examiner,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.irishexaminer.com,1394470507666
44,Business growth in euro zone rises to 32-month high,http://main.omanobserver.om/\?p=63092,Oman Daily Observer,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,main.omanobserver.om,1394470507843
45,Poking the eurozone bear,http://www.europeanvoice.com/article/2014/march/poking-the-eurozone-bear/79982.aspx,European Voice,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.europeanvoice.com,1394470508027
46,ECB Unlocks Door for Further Euro Strength - Will Data Allow?,http://www.dailyfx.com/forex/fundamental/forecast/weekly/eur/2014/03/08/ECB_Unlocks_Door_for_Further_Euro_Strength_Will_Data_Allow.html,DailyFX,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.dailyfx.com,1394470508177
47,Omega's Cooperman says eBay should spin off portion of PayPal: CNBC,"http://www.chicagotribune.com/business/sns-rt-us-funds-hedge-cooperman-20140310,0,676164.story",Chicago Tribune,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.chicagotribune.com,1394470920294
48,"EBay, Icahn talk smack",http://blog.seattlepi.com/techchron/2014/03/10/ebay-icahn-talk-smack/,Seattle Post Intelligencer \(blog\),b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,blog.seattlepi.com,1394470920473
49,Both ways,http://www.business-standard.com/article/opinion/both-ways-114031001089_1.html,Business Standard,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.business-standard.com,1394470920633
50,Why eBay Spinning Off Paypal Makes Sense,http://www.dailyfinance.com/2014/03/10/why-ebay-spinning-off-paypal-makes-sense/,DailyFinance,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.dailyfinance.com,1394470920827
51,Carl Icahn Rift Hurts eBay (EBAY),http://www.thestreet.com/story/12523308/1/carl-icahn-rift-hurts-ebay-ebay.html,TheStreet.com,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.thestreet.com,1394470921011
52,EBay rejects Icahn slate of directors,http://www.news-sentinel.com/apps/pbcs.dll/article\?AID=/20140310/AP01/303109948,News Sentinel,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.news-sentinel.com,1394470921171
53,CARL ICAHN: eBay Shareholders Lost $4 Billion Because Of The CEO's  ...,http://www.businessinsider.in/CARL-ICAHN-eBay-Shareholders-Lost-4-Billion-Because-Of-The-CEOs-Incompetence/articleshow/31793651.cms,Businessinsider India,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.businessinsider.in,1394470921323
54,Ebay to Shareholders: Vote Against Icahn Nominees,http://www.foxbusiness.com/industries/2014/03/10/ebay-asks-shareholders-to-vote-against-icahn-board-nominees/,Fox Business,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.foxbusiness.com,1394470921533
55,"EBay rejects Icahn board nominees, asks investors to do same",http://www.reuters.com/article/2014/03/10/us-ebay-icahn-idUSBREA1Q1CB20140310,Reuters,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.reuters.com,1394470921709
56,Icahn Targets Ebay Chief Donahoe After Company Rejects Board Slate,http://www.forbes.com/sites/steveschaefer/2014/03/10/icahn-targets-ebay-chief-donahoe-after-company-rejects-board-slate/,Forbes,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.forbes.com,1394470921918
57,TECH STOCKS: EBay And Icahn Keep Trading Punches,http://english.capital.gr/News.asp\?id=1972486,Capital.gr \(press release\),b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,english.capital.gr,1394470922077
58,EBay asks shareholders to vote against Carl Icahn board nominees,http://economictimes.indiatimes.com/news/international/business/ebay-asks-shareholders-to-vote-against-carl-icahn-board-nominees/articleshow/31798075.cms,Economic Times,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,economictimes.indiatimes.com,1394470922229
59,EBay asks shareholders to vote against Icahn board nominees,http://www.bnn.ca/News/2014/3/10/EBay-asks-shareholders-to-vote-against-Icahn-board-nominees.aspx,bnn.ca,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.bnn.ca,1394470922422
60,EBay and Icahn keep trading punches,http://www.marketwatch.com/story/ebay-and-icahn-keep-trading-punches-2014-03-10,MarketWatch,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.marketwatch.com,1394470922573
61,EBay Rejects Icahn Board Picks As Activist Strikes Again,http://www.law360.com/articles/516743/ebay-rejects-icahn-board-picks-as-activist-strikes-again,Law360 \(subscription\),b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.law360.com,1394470922783
62,EBay Asks Shareholders To Vote Against PayPal Split While Icahn Claims CEO  ...,http://techcrunch.com/2014/03/10/ebay-asks-shareholders-to-vote-against-paypal-split-while-icahn-claims-ceo-incompetence-cost-4b/,TechCrunch,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,techcrunch.com,1394470922918
63,"EBay rejects Carl Icahn's director nominees, urges reelection of its 4 directors",http://www.globalpost.com/dispatch/news/the-canadian-press/140310/ebay-rejects-carl-icahns-director-nominees-urges-reelection-,GlobalPost,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.globalpost.com,1394470923069
64,EBay CEO Donahoe's Pay Drops by 53% to $13.8 Million for 2013,http://www.businessweek.com/news/2014-03-10/ebay-ceo-donahoe-s-pay-drops-by-53-percent-to-13-dot-8-million-for-2013,Businessweek,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.businessweek.com,1394470923237
65,eBay Rejects Carl Icahn's Board Nominees And Says His Attacks Are 'False And  ...,http://www.businessinsider.in/eBay-Rejects-Carl-Icahns-Board-Nominees-And-Says-His-Attacks-Are-False-And-Misleading/articleshow/31796115.cms,Businessinsider India,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.businessinsider.in,1394470923475
66,"EBay rejects Carl Icahn board nominees, asks investors to do same",http://www.livemint.com/Companies/reFKQhuvTX38786ewbP6GM/EBay-rejects-Carl-Icahn-board-nominees-asks-investors-to-do.html,Livemint,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.livemint.com,1394470923708
67,"eBay's John Donahoe talks Icahn, conflicts, and $100 stock price (someday)",http://tech.fortune.cnn.com/2014/03/10/ebay-john-donahoe-icahn/,Fortune,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,tech.fortune.cnn.com,1394470923910
68,EBay urgest shareholders to reject Icahn's board nominees,http://www.cnbc.com/id/101464754,CNBC.com,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.cnbc.com,1394470924078
69,Carl Icahn slams eBay CEO,http://www.cityam.com/blog/1394460724/carl-icahn-slams-ebay-ceo,CITY A.M. \(blog\),b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.cityam.com,1394470924237
70,Icahn Claims Inexcusable Incompetence of eBay CEO Cost Stockholders $4 Billion,http://wallstreetpit.com/102929-icahn-claims-inexcusable-incompetence-of-ebay-ceo-cost-stockholders-4-billion/,Wall Street Pit,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,wallstreetpit.com,1394470924548
71,"EBay rejects Carl Icahn's director nominees, urges reelection of its 4 directors  ...",http://www.tribtown.com/view/story/6e4d19ec554a43548961a1e049e1265d/US--EBay-Proxy-fight,The Tribune,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.tribtown.com,1394470924716
72,"UPDATE 1-EBay rejects Icahn board nominees, asks investors to do same",http://in.reuters.com/article/2014/03/10/ebay-icahn-idINL2N0M70SN20140310,Reuters,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,in.reuters.com,1394470924842
73,"EBay rejects Icahn board nominees, urges investors to do same",http://www.theglobeandmail.com/report-on-business/international-business/us-business/ebay-urges-shareholders-to-vote-against-icahn-board-nominees/article17391847/,The Globe and Mail,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.theglobeandmail.com,1394470925019
74,Carl Icahn: Donahoe Cost eBay Investors More Than $4B,http://www.valuewalk.com/2014/03/carl-icahn-donahoe-cost-ebay-investors-more-than-4b/,ValueWalk,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.valuewalk.com,1394470925170
75,EBay urges shareholders to vote against Icahn board nominees,http://www.theglobeandmail.com/report-on-business/ebay-urges-shareholders-to-vote-against-icahn-board-nominees/article17391847/,The Globe and Mail,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.theglobeandmail.com,1394470925315
76,eBay asks stockholders to oppose Icahn nominees,http://news.muckety.com/2014/03/10/ebay-asks-stockholders-to-oppose-icahn-nominees/46191,Muckety,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,news.muckety.com,1394470925532
77,EBay says Carl Icahn's board picks 'not qualified',http://www.marketwatch.com/story/ebay-says-carl-icahns-board-picks-not-qualified-2014-03-10\?link=MW_latest_news,MarketWatch,b,dxyGGb4iN9Cs9aMZTKQpJeoiQfruM,www.marketwatch.com,1394470925702
78,McDonald's struggles worsened by snow,http://www.bradenton.com/2014/03/10/5037718/mcdonalds-february-us-sales-chilled.html,Bradenton Herald,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.bradenton.com,1394471386119
79,Food: McDonald's game plan to win back customers,http://www.newsherald.com/lifestyles/food-mcdonald-s-game-plan-to-win-back-customers-1.289028,The News Herald,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.newsherald.com,1394471386368
80,McDonald's Reports Drop In February Global Sales,http://www.kpinsider.com/167497/mcdonalds-reports-drop-in-february-global-sales.html,KP Insider,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.kpinsider.com,1394471386527
81,McDonald's game plan to win back customers,http://www.stamfordadvocate.com/business/article/McDonald-s-game-plan-to-win-back-customers-5303654.php,The Advocate,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.stamfordadvocate.com,1394471386695
82,McDonald's sales decline as chain looks to adapt to changing tastes,http://www.newser.com/article/af181ca95ef9466b8bef4cc344b43539/mcdonalds-sales-decline-as-chain-looks-to-adapt-to-changing-tastes.html,Newser,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.newser.com,1394471386864
83,3 things to watch for as McDonald's fights to boost US sales,http://www.globalpost.com/dispatch/news/the-canadian-press/140310/3-things-watch-mcdonalds-fights-boost-us-sales,GlobalPost,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.globalpost.com,1394471387049
84,McDonald's sales dip amid shifting eating habits,http://www.ocala.com/article/20140310/APF/303109823,Ocala,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.ocala.com,1394471387309
85,"McDonald's sales dip amid shifting eating habits, worsened by snow",http://www.deseretnews.com/article/765649410/McDonalds-sales-dip-amid-shifting-eating-habits.html,Deseret News,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.deseretnews.com,1394471387475
86,McDonald's February US sales chilled by weather,http://www.tuscaloosanews.com/article/20140310/APF/303109823,Tuscaloosa News \(subscription\),b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.tuscaloosanews.com,1394471387645
87,McDonald's US sales fall 1.4 per cent in February as chain looks to adapt to  ...,http://www.globalpost.com/dispatch/news/the-canadian-press/140310/mcdonalds-us-sales-fall-14-cent-february-hampered-again-bad-,GlobalPost,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.globalpost.com,1394471387813
88,McDonald's Corporation (MCD) February Sales Results Decline,http://www.valuewalk.com/2014/03/mcdonalds-corporation-mcd-february-sales-results-decline/,ValueWalk,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.valuewalk.com,1394471387997
89,McDonald's sales decline as chain looks to adapt to changing tastes | The  ...,http://www.tribtown.com/view/story/4c479367a7c94bad9c69468c3fe7e7e3/US--McDonalds-Sales,The Tribune,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.tribtown.com,1394471388223
90,McDonald's to try build-your-own-burger menu,http://www.theindychannel.com/news/daily-extras/mcdonalds-to-try-build-your-own-burger-menu,WRTV Indianapolis,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.theindychannel.com,1394471388416
91,McDonald's US sales continue to struggle in February,http://www.gmanetwork.com/news/story/351951/economy/companies/mcdonald-s-us-sales-continue-to-struggle-in-february,GMA News,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.gmanetwork.com,1394471388592
92,$5 20-piece chicken nuggets didn't help McDonald's reverse US sales decline,http://blogs.marketwatch.com/behindthestorefront/2014/03/10/5-20-piece-chicken-nuggets-didnt-help-mcdonalds-reverse-u-s-sales-decline/,MarketWatch \(blog\),b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,blogs.marketwatch.com,1394471388727
93,Burn: McDonald's Business Did Not Heat Up in February,http://wallstcheatsheet.com/business/burn-mcdonalds-business-did-not-heat-up-in-february.html/\?a=viewall,Wall St. Cheat Sheet,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,wallstcheatsheet.com,1394471388870
94,McDonald's February same-restaurant sales fall 0.3%,http://www.bnn.ca/News/2014/3/10/McDonalds-February-same-restaurant-sales-fall-03.aspx,bnn.ca,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.bnn.ca,1394471389022
95,McDonald's posts weak February sales results,http://www.proactiveinvestors.com/companies/news/52649/mcdonalds-posts-weak-february-sales-results-52649.html,Proactive Investors USA \& Canada,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.proactiveinvestors.com,1394471389274
96,UPDATE 2-McDonald's US sales continue to struggle in February,http://www.reuters.com/article/2014/03/10/mcdonalds-sales-idUSL2N0M70PB20140310,Reuters,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.reuters.com,1394471389416
97,McDonald's Sales Slip as Americans' Eating Habits Shift,http://www.dailyfinance.com/2014/03/10/mcdonalds-february-sales-chilled-winter-weather/,DailyFinance,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.dailyfinance.com,1394471389602
98,"Five Guys, Chipotle continue to take bites out of McDonald's sales",http://www.courierpress.com/news/2014/mar/10/five-guys-chipotle-continue-take-bites-out-mcdonal/,Evansville Courier \& Press,b,d4lvRcSzuglGdFMmqvT6ZGcG8vDlM,www.courierpress.com,1394471389786
